algorithm,numbins,numitems,bitsperitem,instance_id,diff,runtime
integer-programming,2,45,16,1,0.0,0.3448953999999844
integer-programming,2,45,16,2,0.0,0.2749729999999886
integer-programming,2,45,16,3,1.0,0.38647320000001173
integer-programming,2,45,16,4,0.0,0.34281559999999445
integer-programming,2,45,16,5,0.0,0.25793189999996
integer-programming,2,45,16,6,0.0,0.1140583000000106
integer-programming,2,45,16,7,0.0,0.2088158999999905
integer-programming,2,45,16,8,1.0,0.29676870000002964
integer-programming,2,45,16,9,1.0,0.34348820000002434
integer-programming,2,50,16,0,1.0,0.5054084000000216
integer-programming,2,50,16,1,0.0,0.158175999999969
integer-programming,2,50,16,2,1.0,0.9564313000000197
integer-programming,2,50,16,3,1.0,0.4269823999999858
integer-programming,2,50,16,4,1.0,0.021655100000032235
integer-programming,2,50,16,5,1.0,0.36915340000001606
integer-programming,2,50,16,6,0.0,0.23599639999997635
integer-programming,2,50,16,7,1.0,0.23525340000003325
integer-programming,2,50,16,8,0.0,1.6678997999999865
integer-programming,2,50,16,9,1.0,0.02012880000000905
integer-programming,2,60,16,0,1.0,0.12540009999997892
integer-programming,2,60,16,1,0.0,0.017874300000016774
integer-programming,2,60,16,2,0.0,0.32948010000001204
integer-programming,2,60,16,3,0.0,0.232668799999999
integer-programming,2,60,16,4,0.0,0.3846490999999901
integer-programming,2,60,16,5,0.0,0.295866100000012
integer-programming,2,60,16,6,0.0,0.4246913000000063
integer-programming,2,60,16,7,0.0,0.2946375999999873
integer-programming,2,60,16,8,1.0,0.21946429999997008
integer-programming,2,60,16,9,1.0,0.23090570000005073
integer-programming,2,70,16,0,0.0,0.25380030000002307
integer-programming,2,70,16,1,0.0,0.5524882000000275
integer-programming,2,70,16,2,1.0,0.4502138999999943
integer-programming,2,70,16,3,0.0,0.8783154999999851
integer-programming,2,70,16,4,0.0,0.08695679999999584
integer-programming,2,70,16,5,1.0,0.2615220000000136
integer-programming,2,70,16,6,1.0,0.40895540000002484
integer-programming,2,70,16,7,1.0,0.14129249999996318
integer-programming,2,70,16,8,0.0,0.3518028999999956
integer-programming,2,70,16,9,0.0,0.3698676000000205
integer-programming,2,80,16,0,1.0,0.3133154000000218
integer-programming,2,80,16,1,1.0,0.545728199999985
integer-programming,2,80,16,2,0.0,0.1789185999999745
integer-programming,2,80,16,3,1.0,0.2120623000000137
integer-programming,2,80,16,4,1.0,0.3065170000000421
integer-programming,2,80,16,5,0.0,1.5526794999999538
integer-programming,2,80,16,6,0.0,0.551045600000009
integer-programming,2,80,16,7,1.0,1.0508908000000474
integer-programming,2,80,16,8,1.0,0.023701000000016847
integer-programming,2,80,16,9,0.0,0.16177729999998292
integer-programming,2,90,16,0,1.0,0.044119099999988975
integer-programming,2,90,16,1,1.0,0.1714259000000311
integer-programming,2,90,16,2,1.0,0.633452200000022
integer-programming,2,90,16,3,0.0,0.2725480000000289
integer-programming,2,90,16,4,1.0,0.2347967999999696
integer-programming,2,90,16,5,0.0,0.031640500000037264
integer-programming,2,90,16,6,1.0,0.27146270000002914
integer-programming,2,90,16,7,0.0,0.03411749999997937
integer-programming,2,90,16,8,0.0,0.4834837999999877
integer-programming,2,90,16,9,1.0,0.2797231999999781
integer-programming,2,100,16,0,0.0,0.22961750000001757
integer-programming,2,100,16,1,0.0,0.46098200000000134
integer-programming,2,100,16,2,0.0,0.27147959999996374
integer-programming,2,100,16,3,1.0,2.54333969999999
integer-programming,2,100,16,4,0.0,0.1637034999999969
