algorithm,numbins,numitems,bitsperitem,instance_id,diff,runtime
integer-programming,4,14,10,3,8.0,2.7092308000000003
integer-programming,4,14,10,4,18.0,3.237984200000028
integer-programming,4,14,10,5,26.0,15.964293699999985
integer-programming,4,14,10,6,34.0,25.98387379999997
integer-programming,4,14,10,7,3.0,9.629317700000001
integer-programming,4,14,10,8,7.0,9.145368700000063
integer-programming,4,14,10,9,23.0,2.4641849999999295
integer-programming,4,14,12,0,103.0,6.536255900000015
integer-programming,4,14,12,1,87.0,8.899335000000065
integer-programming,4,14,12,2,69.0,4.478811300000075
integer-programming,4,14,12,3,67.0,5.559087799999929
integer-programming,4,14,12,4,45.0,5.277051400000005
integer-programming,4,14,12,5,130.0,4.547634500000072
integer-programming,4,14,12,6,101.0,9.399100500000031
integer-programming,4,14,12,7,49.0,16.44602599999996
integer-programming,4,14,12,8,147.0,13.273235500000055
integer-programming,4,14,12,9,55.0,8.888875699999971
integer-programming,4,14,16,0,1536.0,29.87261239999998
integer-programming,4,14,16,1,1380.0,11.493738800000074
integer-programming,4,14,16,2,887.0,2.48358589999998
integer-programming,4,14,16,3,1293.0,15.77069389999997
integer-programming,4,14,16,4,652.0,2.005890700000009
integer-programming,4,14,16,5,506.0,2.496427899999958
integer-programming,4,14,16,6,3169.0,30.57089150000013
integer-programming,4,16,8,0,2.0,3818.2747523999997
integer-programming,5,10,8,0,69.0,2.4068434000000707
integer-programming,5,10,8,1,44.0,0.9208125999994081
integer-programming,5,10,8,2,35.0,1.1774536000002627
integer-programming,5,10,8,3,31.0,0.9589974999998958
integer-programming,5,10,8,4,45.0,0.6853444999997009
integer-programming,5,10,8,5,34.0,0.5967483000003995
integer-programming,5,10,8,6,18.0,0.4819090999999389
integer-programming,5,10,8,7,44.0,0.7194025999997393
integer-programming,5,10,8,8,32.0,0.6473831000002974
integer-programming,5,10,8,9,53.0,0.8841237999995428
integer-programming,5,10,10,0,352.0,0.904626499999722
integer-programming,5,10,10,1,56.0,0.5807692000007592
integer-programming,5,10,10,2,149.0,0.4534507999997004
integer-programming,5,10,10,3,185.0,0.9297957999997379
integer-programming,5,10,10,4,154.0,0.6953009999997448
integer-programming,5,10,10,5,123.0,0.5280277000001661
integer-programming,5,10,10,6,621.0,0.8370165000005727
integer-programming,5,10,10,7,54.0,0.8100721000000703
integer-programming,5,10,10,8,335.0,2.070452499999192
integer-programming,5,10,10,9,153.0,0.37596599999960745
integer-programming,5,10,12,0,538.0,0.5214347999999518
integer-programming,5,10,12,1,1880.0,1.3654173000004448
integer-programming,5,10,12,2,595.0,0.3175713000000542
integer-programming,5,10,12,3,907.0,0.8510528000006161
integer-programming,5,10,12,4,1781.0,0.8112173999998049
integer-programming,5,10,12,5,660.0,2.752878999999666
integer-programming,5,10,12,6,742.0,0.8277544000002308
integer-programming,5,10,12,7,1069.0,0.6472912999997789
integer-programming,5,10,12,8,351.0,0.7795926999997391
integer-programming,5,10,12,9,919.0,0.32046399999944697
integer-programming,5,10,16,0,4178.0,0.4305315999999948
integer-programming,5,10,16,1,19379.0,0.37529369999992923
integer-programming,5,10,16,2,7733.0,0.7342502000001332
integer-programming,5,10,16,3,21060.0,0.6826105999998617
integer-programming,5,10,16,4,13953.0,0.5994018999999753
integer-programming,5,10,16,5,12774.0,1.0004051999994772
integer-programming,5,10,16,6,19638.0,1.784412500000144
integer-programming,5,10,16,7,8633.0,0.6262691000001723
integer-programming,5,10,16,8,8817.0,0.796334300000126
integer-programming,5,10,16,9,11993.0,0.5452026999992086
integer-programming,5,12,8,0,45.0,4.618935899999997
integer-programming,5,12,8,1,17.0,3.511073299999225
integer-programming,5,12,8,2,18.0,2.7369071000002805
integer-programming,5,12,8,3,40.0,2.0471976999997423
integer-programming,5,12,8,4,72.0,3.2145365999995192
integer-programming,5,12,8,5,42.0,4.504909000000225
integer-programming,5,12,8,6,16.0,7.178805300000022
integer-programming,5,12,8,7,78.0,3.8469348999997237
integer-programming,5,12,8,8,31.0,2.3595797000007224
integer-programming,5,12,8,9,51.0,8.025542100000166
integer-programming,5,12,10,0,111.0,2.992844700000205
integer-programming,5,12,10,1,187.0,0.930716200000461
integer-programming,5,12,10,2,51.0,2.1129652999998143
integer-programming,5,12,10,3,134.0,1.661096799999541
integer-programming,5,12,10,4,129.0,1.4504501999999775
integer-programming,5,12,10,5,31.0,2.6446327000003294
integer-programming,5,12,10,6,163.0,2471.2815053000004
integer-programming,5,12,12,0,277.0,4.894343899999512
integer-programming,5,12,12,1,346.0,1.171563299999434
integer-programming,5,12,12,2,394.0,2.3056884999996328
integer-programming,5,12,12,3,170.0,1.1614867999996932
integer-programming,5,12,12,4,107.0,1.585985300000175
integer-programming,5,12,12,5,1577.0,3.1416108999992503
integer-programming,5,12,16,0,4216.0,3.253324799999973
integer-programming,5,12,16,1,5271.0,2.5588458000001992
integer-programming,5,12,16,2,6944.0,0.9921453000006295
integer-programming,5,12,16,3,7897.0,2.31074819999958
integer-programming,5,12,16,4,2801.0,1.7717242999997325
integer-programming,5,12,16,5,3373.0,2.2292790000001332
integer-programming,5,14,8,0,12.0,20.016804700000648
integer-programming,5,14,8,1,6.0,33.34706390000065
integer-programming,5,14,10,0,36.0,51.63918439999998
integer-programming,6,10,8,0,74.0,0.3919653000002654
integer-programming,6,10,8,1,34.0,1.7999331999999413
