numitems,bitsperitem,algorithm,numbins,instance_id,diff,runtime
10,20,recursive-number-partitioning-sy,2,6,5281.0,0.0049730000000067776
10,20,recursive-number-partitioning-sy,2,7,7434.0,0.006060999999988326
10,20,recursive-number-partitioning-sy,2,8,4493.0,0.004691300000018828
10,20,recursive-number-partitioning-sy,2,9,274.0,0.005019400000009
10,20,recursive-number-partitioning-sy,3,0,13856.0,0.005619400000000496
10,20,recursive-number-partitioning-sy,3,1,46341.0,0.006694000000010192
10,20,recursive-number-partitioning-sy,3,2,16720.0,0.006664700000015955
10,20,recursive-number-partitioning-sy,3,3,49624.0,0.0048142999999925
10,20,recursive-number-partitioning-sy,3,4,39618.0,0.008143999999987273
10,20,recursive-number-partitioning-sy,3,5,78987.0,0.01116500000000542
10,20,recursive-number-partitioning-sy,3,6,21243.0,0.002365599999990309
10,20,recursive-number-partitioning-sy,3,7,10504.0,0.00403369999997949
10,20,recursive-number-partitioning-sy,3,8,22749.0,0.004307199999999511
10,20,recursive-number-partitioning-sy,3,9,28038.0,0.006977299999988418
10,20,recursive-number-partitioning-sy,4,0,117119.0,0.0171585999999877
10,20,recursive-number-partitioning-sy,4,1,87204.0,0.009966599999984282
10,20,recursive-number-partitioning-sy,4,2,12576.0,0.008708299999995006
10,20,recursive-number-partitioning-sy,4,3,47125.0,0.023909500000002026
10,20,recursive-number-partitioning-sy,4,4,184523.0,0.027300400000001446
10,20,recursive-number-partitioning-sy,4,5,33255.0,0.01494750000000522
10,20,recursive-number-partitioning-sy,4,6,231398.0,0.034858600000006845
10,20,recursive-number-partitioning-sy,4,7,127045.0,0.01579709999998613
10,20,recursive-number-partitioning-sy,4,8,146790.0,0.01370239999999967
10,20,recursive-number-partitioning-sy,4,9,150659.0,0.01878089999999588
10,24,recursive-number-partitioning-kg,2,0,333241.0,0.0028001999999958116
10,24,recursive-number-partitioning-kg,2,1,20318.0,0.002949099999995042
10,24,recursive-number-partitioning-kg,2,2,754677.0,0.0033753999999817097
10,24,recursive-number-partitioning-kg,2,3,162727.0,0.003627400000027592
10,24,recursive-number-partitioning-kg,2,4,100146.0,0.0030557000000044354
10,24,recursive-number-partitioning-kg,2,5,404312.0,0.0017842000000030112
10,24,recursive-number-partitioning-kg,2,6,55597.0,0.0013111000000094464
10,24,recursive-number-partitioning-kg,2,7,660430.0,0.003160999999977321
10,24,recursive-number-partitioning-kg,2,8,81791.0,0.0030581000000040603
10,24,recursive-number-partitioning-kg,2,9,47279.0,0.00272979999999734
10,24,recursive-number-partitioning-sy,2,0,58598.0,0.004805000000004611
10,24,recursive-number-partitioning-sy,2,1,27359.0,0.00455830000001356
10,24,recursive-number-partitioning-sy,2,2,58020.0,0.004326500000018996
10,24,recursive-number-partitioning-sy,2,3,446692.0,0.0020501000000194836
10,24,recursive-number-partitioning-sy,2,4,3257.0,0.0022332000000062635
10,24,recursive-number-partitioning-sy,2,5,23416.0,0.004388099999999895
10,24,recursive-number-partitioning-sy,2,6,3318755.0,0.003669900000005555
