numitems,bitsperitem,instance_id,objective,use_boolean_matrix,diff,runtime
12,20,0,maximize-smallest-sum,False,2498,0.004394100000013168
12,20,1,minimize-largest-sum,False,2389,0.003266300000063893
12,20,1,maximize-smallest-sum,False,348,0.006919000000038977
12,20,2,minimize-largest-sum,False,617,0.0176682000000028
12,20,2,maximize-smallest-sum,False,3133,0.0036224000000402157
12,20,3,minimize-largest-sum,False,2649,0.0033651999999619875
12,20,3,maximize-smallest-sum,False,189,0.0034250999999585474
12,20,4,minimize-largest-sum,False,883,0.0033735000000660875
12,20,4,maximize-smallest-sum,False,951,0.0031322999999474632
12,20,5,minimize-largest-sum,False,4736,0.0029911000000311105
12,20,5,maximize-smallest-sum,False,2725,0.0029858999999987645
12,20,6,minimize-largest-sum,False,1530,0.005831599999964965
12,20,6,maximize-smallest-sum,False,320,0.003063400000087313
12,20,7,minimize-largest-sum,False,1823,0.00336010000000897
12,20,7,maximize-smallest-sum,False,1292,0.0035381000000143104
12,20,8,minimize-largest-sum,False,533,0.005648500000006607
12,20,8,maximize-smallest-sum,False,100,0.005717899999922338
12,20,9,minimize-largest-sum,False,2117,0.004961900000012065
12,20,9,maximize-smallest-sum,False,79,0.004516599999988102
14,4,0,minimize-largest-sum,False,0,0.0004371999999648324
14,4,0,minimize-largest-sum,True,1,0.043478999999933876
14,4,0,maximize-smallest-sum,False,1,0.0005876000000171189
14,4,0,maximize-smallest-sum,True,1,0.031993600000078004
14,4,1,minimize-largest-sum,False,1,0.0008239999999659631
14,4,1,minimize-largest-sum,True,0,0.028652200000010453
14,4,1,maximize-smallest-sum,False,1,0.0009256999999252002
14,4,1,maximize-smallest-sum,True,0,0.023523599999975886
14,4,2,minimize-largest-sum,False,0,0.00047210000002451125
14,4,2,minimize-largest-sum,True,1,0.014540799999963383
14,4,2,maximize-smallest-sum,False,1,0.0005170000000589425
14,4,2,maximize-smallest-sum,True,0,0.017676899999969464
14,4,3,minimize-largest-sum,False,0,0.00046359999998912826
14,4,3,minimize-largest-sum,True,0,0.011642800000004172
14,4,3,maximize-smallest-sum,False,1,0.0004969000000301094
14,4,3,maximize-smallest-sum,True,1,0.009173799999985022
14,4,4,minimize-largest-sum,False,0,0.0005478000000493921
14,4,4,minimize-largest-sum,True,1,0.010816299999987677
14,4,4,maximize-smallest-sum,False,0,0.00030090000007021445
14,4,4,maximize-smallest-sum,True,1,0.01310620000003837
14,4,5,minimize-largest-sum,False,0,0.00042199999995773396
14,4,5,minimize-largest-sum,True,0,0.02017590000002656
14,4,5,maximize-smallest-sum,False,1,0.00044270000000778964
14,4,5,maximize-smallest-sum,True,1,0.010608200000092438
14,4,6,minimize-largest-sum,False,0,0.00039979999996830884
14,4,6,minimize-largest-sum,True,1,0.01415210000004663
14,4,6,maximize-smallest-sum,False,0,0.0003388000000086322
14,4,6,maximize-smallest-sum,True,0,0.015413800000033007
14,4,7,minimize-largest-sum,False,1,0.00032580000004145404
14,4,7,minimize-largest-sum,True,1,0.010916599999973187
14,4,7,maximize-smallest-sum,False,0,0.0004242999999632957
14,4,7,maximize-smallest-sum,True,1,0.009392199999979312
14,4,8,minimize-largest-sum,False,1,0.00042729999995572143
14,4,8,minimize-largest-sum,True,0,0.015209499999969012
14,4,8,maximize-smallest-sum,False,1,0.00039279999998598214
14,4,8,maximize-smallest-sum,True,1,0.009274800000071082
14,4,9,minimize-largest-sum,False,1,0.00045969999996486877
14,4,9,minimize-largest-sum,True,1,0.00929499999995187
14,4,9,maximize-smallest-sum,False,1,0.0003490000000283544
14,4,9,maximize-smallest-sum,True,1,0.009293100000036247
