numitems,bitsperitem,algorithm,instance_id,diff,runtime
20,12,complete-karmarkar-karp-kg,4,4.0,2.5444311999999627
20,12,complete-karmarkar-karp-kg,5,4.0,4.255823399999997
20,12,complete-karmarkar-karp-kg,6,2.0,3.9074739000000136
20,12,complete-karmarkar-karp-kg,7,3.0,3.918420900000001
20,12,complete-karmarkar-karp-kg,8,1.0,4.1675837999999885
20,12,complete-karmarkar-karp-kg,9,0.0,3.912576600000023
20,16,complete-karmarkar-karp-kg,0,24.0,2.155606300000045
20,16,complete-karmarkar-karp-kg,1,31.0,4.358326799999986
20,16,complete-karmarkar-karp-kg,2,32.0,1.7411020999999778
20,16,complete-karmarkar-karp-kg,3,525.0,3.896678099999974
20,16,complete-karmarkar-karp-kg,4,14.0,4.566071599999987
20,16,complete-karmarkar-karp-kg,5,0.0,4.732029000000011
20,16,complete-karmarkar-karp-kg,6,4.0,5.021744099999978
20,16,complete-karmarkar-karp-kg,7,15.0,3.716731299999992
20,16,complete-karmarkar-karp-kg,8,107.0,4.06688969999999
20,16,complete-karmarkar-karp-kg,9,126.0,4.378766499999983
20,20,complete-karmarkar-karp-kg,0,4995.0,4.316062299999999
20,20,complete-karmarkar-karp-kg,1,277.0,1.706677500000012
20,20,complete-karmarkar-karp-kg,2,670.0,3.7349548000000254
20,20,complete-karmarkar-karp-kg,3,3811.0,3.5834480000000326
20,20,complete-karmarkar-karp-kg,4,84.0,2.6104437999999845
20,20,complete-karmarkar-karp-kg,5,611.0,4.380684900000006
20,20,complete-karmarkar-karp-kg,6,1435.0,2.8178907999999865
20,20,complete-karmarkar-karp-kg,7,10245.0,3.47554839999998
20,20,complete-karmarkar-karp-kg,8,489.0,4.100235999999995
20,20,complete-karmarkar-karp-kg,9,1489.0,3.07009579999999
22,4,complete-karmarkar-karp-kg,0,0.0,11.08660679999997
22,4,complete-karmarkar-karp-kg,1,1.0,11.88905520000003
22,4,complete-karmarkar-karp-kg,2,1.0,9.779793299999994
22,4,complete-karmarkar-karp-kg,3,0.0,10.5777516
22,4,complete-karmarkar-karp-kg,4,0.0,12.145174999999997
22,4,complete-karmarkar-karp-kg,5,1.0,12.098041000000023
22,4,complete-karmarkar-karp-kg,6,1.0,12.753383900000015
22,4,complete-karmarkar-karp-kg,7,0.0,11.638538700000026
22,4,complete-karmarkar-karp-kg,8,0.0,11.044383799999991
22,4,complete-karmarkar-karp-kg,9,0.0,12.572022500000005
22,8,complete-karmarkar-karp-kg,0,2.0,10.123841900000002
22,8,complete-karmarkar-karp-kg,1,2.0,11.727550699999938
22,8,complete-karmarkar-karp-kg,2,0.0,14.585438999999951
22,8,complete-karmarkar-karp-kg,3,1.0,12.348816599999964
22,8,complete-karmarkar-karp-kg,4,0.0,14.14521810000008
22,8,complete-karmarkar-karp-kg,5,3.0,13.679249199999958
22,8,complete-karmarkar-karp-kg,6,0.0,14.0514948
22,8,complete-karmarkar-karp-kg,7,1.0,14.000268699999992
22,8,complete-karmarkar-karp-kg,8,0.0,12.208885800000076
22,8,complete-karmarkar-karp-kg,9,1.0,10.652015099999971
22,12,complete-karmarkar-karp-kg,0,16.0,10.85437109999998
22,12,complete-karmarkar-karp-kg,1,0.0,13.039906599999997
22,12,complete-karmarkar-karp-kg,2,1.0,15.093033500000049
22,12,complete-karmarkar-karp-kg,3,0.0,13.140913899999989
22,12,complete-karmarkar-karp-kg,4,2.0,10.01840260000006
22,12,complete-karmarkar-karp-kg,5,7.0,12.196141699999998
22,12,complete-karmarkar-karp-kg,6,7.0,12.524839399999903
22,12,complete-karmarkar-karp-kg,7,1.0,13.388949000000023
22,12,complete-karmarkar-karp-kg,8,2.0,11.838020700000015
22,12,complete-karmarkar-karp-kg,9,1.0,12.964604699999995
22,16,complete-karmarkar-karp-kg,0,51.0,13.98270260000004
22,16,complete-karmarkar-karp-kg,1,9.0,14.06084820000001
22,16,complete-karmarkar-karp-kg,2,3.0,14.042687500000056
22,16,complete-karmarkar-karp-kg,3,19.0,7.700679799999989
22,16,complete-karmarkar-karp-kg,4,0.0,14.66601300000002
22,16,complete-karmarkar-karp-kg,5,9.0,11.33515609999995
22,16,complete-karmarkar-karp-kg,6,138.0,16.18505529999993
22,16,complete-karmarkar-karp-kg,7,13.0,12.405303799999956
22,16,complete-karmarkar-karp-kg,8,36.0,16.39680620000013
22,16,complete-karmarkar-karp-kg,9,5.0,17.969454099999894
22,20,complete-karmarkar-karp-kg,0,923.0,17.679476499999964
22,20,complete-karmarkar-karp-kg,1,347.0,15.870161199999984
22,20,complete-karmarkar-karp-kg,2,905.0,15.526950599999964
22,20,complete-karmarkar-karp-kg,3,493.0,13.11003390000019
22,20,complete-karmarkar-karp-kg,4,50.0,9.797412099999974
22,20,complete-karmarkar-karp-kg,5,1421.0,6.202764800000068
22,20,complete-karmarkar-karp-kg,6,6077.0,15.284575800000084
22,20,complete-karmarkar-karp-kg,7,1607.0,15.795020600000043
22,20,complete-karmarkar-karp-kg,8,59.0,9.801228300000048
22,20,complete-karmarkar-karp-kg,9,329.0,15.673499799999943
24,4,complete-karmarkar-karp-kg,0,1.0,44.45460800000001
10,4,complete-karmarkar-karp-sy,0,1.0,0.0049483999999999
10,4,complete-karmarkar-karp-sy,1,1.0,0.0044340999999998
10,4,complete-karmarkar-karp-sy,2,1.0,0.009087
10,4,complete-karmarkar-karp-sy,3,0.0,0.0005934
10,4,complete-karmarkar-karp-sy,4,1.0,0.0060008
10,4,complete-karmarkar-karp-sy,5,0.0,0.0003632999999998
10,4,complete-karmarkar-karp-sy,6,0.0,0.0003125999999999
10,4,complete-karmarkar-karp-sy,7,0.0,0.0003167000000001
10,4,complete-karmarkar-karp-sy,8,1.0,0.0037382000000001
10,4,complete-karmarkar-karp-sy,9,0.0,0.0003222999999998
10,8,complete-karmarkar-karp-sy,0,1.0,0.0048931999999997
10,8,complete-karmarkar-karp-sy,1,1.0,0.0051674000000003
10,8,complete-karmarkar-karp-sy,2,3.0,0.0038814999999998
10,8,complete-karmarkar-karp-sy,3,1.0,0.0104122000000002
10,8,complete-karmarkar-karp-sy,4,0.0,0.0004455999999999
10,8,complete-karmarkar-karp-sy,5,3.0,0.0092102
