algorithm,numbins,numitems,bitsperitem,instance_id,runtime,diff
complete-karmarkar-karp-sy,2,15,48,0,0.1669203000000152,2.487597778854459e-05
complete-karmarkar-karp-sy,2,15,48,1,0.1252200999999786,5.438638014712596e-05
complete-karmarkar-karp-sy,2,15,48,2,0.1566553999999769,9.880996394478476e-06
complete-karmarkar-karp-sy,2,15,48,3,0.1959093000000393,7.076821951625421e-05
complete-karmarkar-karp-sy,2,15,48,4,0.1513680000000477,8.386308848590881e-06
complete-karmarkar-karp-sy,2,15,48,5,0.1732076000000688,3.2067830659468696e-05
complete-karmarkar-karp-sy,2,15,48,6,0.1318699999999353,6.215397656594124e-05
complete-karmarkar-karp-sy,2,15,48,7,0.1027590999999574,6.768332663711156e-05
complete-karmarkar-karp-sy,2,15,48,8,0.1837343999999348,8.330270552302268e-06
complete-karmarkar-karp-sy,2,15,48,9,0.2117408999999952,0.0003246139866881
complete-karmarkar-karp-sy,2,25,16,0,1.1449405999999271,0.0
complete-karmarkar-karp-sy,2,25,16,1,144.5484014000001,2.294109415254451e-06
complete-karmarkar-karp-sy,2,25,32,0,112.60787249999998,2.6604289342454723e-08
integer-programming,2,10,16,0,0.7090472,0.0009805407658639
integer-programming,2,10,16,1,0.1219639000000001,0.0047278270080347
integer-programming,2,10,16,2,0.1256437000000001,0.0005909932626768
integer-programming,2,10,16,3,0.1028312,0.0023413009404388
integer-programming,2,10,16,4,0.0812847999999999,0.0047247329498767
integer-programming,2,10,16,5,0.0665254000000001,0.0147378201683682
integer-programming,2,10,16,6,0.1111996000000001,0.0038066344199891
integer-programming,2,10,16,7,0.1020688,0.0006025842122936
integer-programming,2,10,16,8,0.0783966999999998,0.0003085092459286
integer-programming,2,10,16,9,0.0963644999999999,0.0005031831805552
integer-programming,2,10,32,0,0.0484127999999999,0.0037717127435977
integer-programming,2,10,32,1,0.1242795000000001,0.0002743990979856
integer-programming,2,10,32,2,0.1227546999999997,0.0043274058647722
integer-programming,2,10,32,3,0.1042309999999999,0.000335782939857
integer-programming,2,10,32,4,0.0975622999999998,0.0014505181554755
integer-programming,2,10,32,5,0.1050336999999999,0.0081685224963289
integer-programming,2,10,32,6,0.0875740999999998,0.0011339201812745
integer-programming,2,10,32,7,0.1198955000000001,0.0009781837520486
integer-programming,2,10,32,8,0.077865,0.0014153406455745
integer-programming,2,10,32,9,0.1050648999999999,0.0004965541666069
integer-programming,2,10,48,0,0.0979472000000001,0.0019738580777839
integer-programming,2,10,48,1,0.0894707000000001,0.0024019270907594
integer-programming,2,10,48,2,0.0421832000000002,0.0006391577566546
integer-programming,2,10,48,3,0.0992182999999999,0.000694226918638
integer-programming,2,10,48,4,0.0904708999999996,0.001624908394185
integer-programming,2,10,48,5,0.0658658999999999,0.0029880845323797
integer-programming,2,10,48,6,0.0794538999999998,0.0007266129140479
integer-programming,2,10,48,7,0.0586921,0.0032028591491822
integer-programming,2,10,48,8,0.0888012000000006,0.0004785017715077
