numitems,bitsperitem,instance_id,objective,use_lower_bound,use_set_of_seen_states,diff,runtime
12,32,4,maximize-smallest-sum,False,False,9972939.0,0.005051700000000103
12,32,4,maximize-smallest-sum,False,True,828194.0,0.005295099999999664
12,32,4,maximize-smallest-sum,True,False,8538736.0,0.004797100000000221
12,32,4,maximize-smallest-sum,True,True,3616382.0,0.008508299999999913
12,32,5,minimize-largest-sum,False,False,11191984.0,0.0013003999999998683
12,32,5,minimize-largest-sum,False,True,4589268.0,0.0046879999999998034
12,32,5,minimize-largest-sum,True,False,2057253.0,0.005818800000000124
12,32,5,minimize-largest-sum,True,True,3496886.0,0.002453600000000833
12,32,5,maximize-smallest-sum,False,False,7564435.0,0.002746500000000651
12,32,5,maximize-smallest-sum,False,True,1673837.0,0.002980100000000263
12,32,5,maximize-smallest-sum,True,False,5534070.0,0.005092699999999617
12,32,5,maximize-smallest-sum,True,True,2061741.0,0.016550600000000415
12,32,6,minimize-largest-sum,False,False,77852.0,0.002570999999999657
12,32,6,minimize-largest-sum,False,True,591994.0,0.009506100000000295
12,32,6,minimize-largest-sum,True,False,361676.0,0.006386000000000003
12,32,6,minimize-largest-sum,True,True,4576333.0,0.009382899999999417
12,32,6,maximize-smallest-sum,False,False,5617985.0,0.003825700000000154
12,32,6,maximize-smallest-sum,False,True,11927221.0,0.0023200000000000998
12,32,6,maximize-smallest-sum,True,False,3982088.0,0.013585700000000145
12,32,6,maximize-smallest-sum,True,True,6599358.0,0.005503299999999989
12,32,7,minimize-largest-sum,False,False,1127044.0,0.0037277999999991707
12,32,7,minimize-largest-sum,False,True,746829.0,0.0018070000000003361
12,32,7,minimize-largest-sum,True,False,3115725.0,0.009814800000000012
12,32,7,minimize-largest-sum,True,True,3783594.0,0.0036781000000001285
12,32,7,maximize-smallest-sum,False,False,2952740.0,0.007695400000000241
12,32,7,maximize-smallest-sum,False,True,6104737.0,0.002983299999999467
12,32,7,maximize-smallest-sum,True,False,7553264.0,0.009610600000000247
12,32,7,maximize-smallest-sum,True,True,6838650.0,0.0023077000000002457
12,32,8,minimize-largest-sum,False,False,584980.0,0.0031433999999999074
12,32,8,minimize-largest-sum,False,True,672086.0,0.0055922999999999945
12,32,8,minimize-largest-sum,True,False,440297.0,0.009544100000000277
12,32,8,minimize-largest-sum,True,True,10903075.0,0.005891099999999483
12,32,8,maximize-smallest-sum,False,False,2620625.0,0.0056616000000007105
